20170712T194500,Tranmere v Liverpool
20170714T193000,Wigan v Liverpool
20170719T133000,Liverpool v Crystal Palace
20170722T133000,Liverpool v Leicester City
20170729T170000,Hertha Berlin v Liverpool
20170801T193000,Bayern Munich v Liverpool
20170802T193000,Atl.Madrid v Liverpool
20170805T171500,Athletic Club v Liverpool
20170812T123000,Watford v Liverpool
20170815T194500,1899 Hoffenheim v Liverpool
20170819T150000,Liverpool v Crystal Palace
20170823T194500,Liverpool v 1899 Hoffenheim
20170827T160000,Liverpool v Arsenal
20170909T123000,Manchester City v Liverpool
20170913T194500,Liverpool v Sevilla
20170916T150000,Liverpool v Burnley
20170919T194500,Leicester City v Liverpool
20170923T173000,Leicester City v Liverpool
20170926T194500,Spartak Moscow v Liverpool
20171001T163000,Newcastle United v Liverpool
20171014T123000,Liverpool v Manchester United
20171017T194500,NK Maribor v Liverpool
20171022T160000,Tottenham Hotspur v Liverpool
20171028T150000,Liverpool v Huddersfield Town
20171101T194500,Liverpool v NK Maribor
20171104T173000,West Ham United v Liverpool
20171118T150000,Liverpool v Southampton
20171121T194500,Sevilla v Liverpool
20171125T173000,Liverpool v Chelsea
20171129T194500,Stoke City v Liverpool
20171202T150000,Brighton and Hove Albion v Liverpool
20171206T194500,Liverpool v Spartak Moscow
20171209T150000,Liverpool v Everton
20171213T200000,Liverpool v W.B.A.
20171216T150000,AFC Bournemouth v Liverpool
20171223T150000,Arsenal v Liverpool
20171226T150000,Liverpool v Swansea City
20171230T150000,Liverpool v Leicester City
20180101T150000,Burnley v Liverpool
20180113T150000,Liverpool v Manchester City
20180120T150000,Swansea City v Liverpool
20180130T194500,Huddersfield Town v Liverpool
20180203T150000,Liverpool v Tottenham Hotspur
20180210T150000,Southampton v Liverpool
20180224T150000,Liverpool v West Ham United
20180303T150000,Liverpool v Newcastle United
20180310T150000,Manchester United v Liverpool
20180317T150000,Liverpool v Watford
20180331T150000,Crystal Palace v Liverpool
20180407T150000,Everton v Liverpool
20180414T150000,Liverpool v AFC Bournemouth
20180421T150000,W.B.A. v Liverpool
20180428T150000,Liverpool v Stoke City
20180505T150000,Chelsea v Liverpool
20180513T150000,Liverpool v Brighton and Hove Albion
